Antenna,Time (sec),X,Y,Z
DSS 24,6786.493955999999,-151.7806729390926,-4852.6841481902175,-2314.6576618491554
DSS 24,6846.493955999999,-132.30780346204403,-4849.21860559759,-2323.1001843658555
DSS 24,6906.493955999999,-112.84903181248194,-4845.660234663975,-2331.5365947260434
DSS 24,6966.493955999999,-93.40473048866568,-4842.009103507083,-2339.9667314319513
DSS 24,7026.493955999999,-73.97527171184959,-4838.265282020329,-2348.390433105909
DSS 24,7085.66796,-54.828190599784534,-4834.48228502591,-2356.691709073902
DSS 24,7145.66796,-35.42931534747652,-4830.554573182294,-2365.102151166646
DSS 24,7205.66796,-16.046392462543167,-4826.534390282297,-2373.5056770613983
DSS 24,7265.66796,3.32020700872647,-4822.421813284074,-2381.9021258898983
DSS 24,7325.66796,22.67011233251776,-4818.216920914473,-2390.29133691936
DSS 24,7385.66796,42.00295309459591,-4813.919793667531,-2398.6731495555514
DSS 24,7445.66796,61.31835920738911,-4809.530513802933,-2407.0474033458654
DSS 24,7505.66796,80.61596091707759,-4805.049165344434,-2415.4139379823955
DSS 24,7565.66796,99.89538881066858,-4800.475834078261,-2423.7725933050015
DSS 24,7625.66796,119.15627382307218,-4795.810607551452,-2432.123209304377
DSS 24,7685.667960000001,138.3982472441627,-4791.053575070202,-2440.465626125111
DSS 24,7745.667960000001,157.6209407258374,-4786.204827698136,-2448.7996840687515
DSS 24,7805.667960000001,176.82398628906924,-4781.264458254573,-2457.125223596857
DSS 24,7865.667960000001,196.00701633095025,-4776.2325613127505,-2465.442085334055
DSS 24,7925.667960000001,215.16966363172753,-4771.1092331980135,-2473.7501100710915
DSS 24,7985.667960000001,234.31156136183665,-4765.894571985964,-2482.0491387678785
DSS 24,8045.667960000001,253.4323430889175,-4760.588677500593,-2490.339012556539
DSS 24,8105.667960000001,272.5316427848353,-4755.191651312365,-2498.6195727444474
DSS 24,8165.667960000001,291.6090948326838,-4749.703596736272,-2506.8906608172692
DSS 24,8225.66796,310.6643340337838,-4744.124618829859,-2515.1521184419917
DSS 24,8285.66796,329.6969956146785,-4738.454824391214,-2523.4037874699607
DSS 24,8345.66796,348.7067152341107,-4732.694321956916,-2531.6455099399013
DSS 24,8405.66796,367.69312898999976,-4726.843221799966,-2539.877128080947
DSS 24,8465.66796,386.6558734264114,-4720.901635927671,-2548.098484315657
DSS 24,8525.66796,405.5945855405074,-4714.869678079504,-2556.3094212630344
DSS 24,8585.66796,424.5089027895018,-4708.747463724921,-2564.509781741538
DSS 24,8645.66796,443.39846309759866,-4702.535110061154,-2572.6994087720914
DSS 24,8705.66796,462.26290486292066,-4696.23273601097,-2580.878145581087
DSS 24,8765.66796,481.10186696443463,-4689.840462220387,-2589.04583560339
DSS 24,8825.66796,499.9149887688644,-4683.358411056373,-2597.202322485332
DSS 24,8885.66796,518.701910137591,-4676.786706604499,-2605.347450087707
DSS 24,8945.66796,537.4622714335507,-4670.125474666562,-2613.481062488758
DSS 24,9005.66796,556.1957135281183,-4663.3748427581795,-2621.603003987164
DSS 24,9065.66796,574.9018778079795,-4656.534940106352,-2629.713119105019
DSS 24,9125.66796,593.5804061819994,-4649.60589764698,-2637.811252590808
DSS 24,9185.66796,612.2309410880747,-4642.587848022366,-2645.897249422381
DSS 24,9245.66796,630.8531254999806,-4635.480925578671,-2653.970954809918
DSS 24,9305.66796,649.446602934204,-4628.285266363344,-2662.0322141988954
DSS 24,9365.66796,668.0110174567677,-4621.0010081225155,-2670.080873273041
DSS 24,9425.66796,686.5460136900457,-4613.628290298366,-2678.1167779572907
DSS 24,9485.66796,705.0512368195622,-4606.167254026451,-2686.139774420737
DSS 24,9545.66796,723.5263326007879,-4598.618042133003,-2694.1497090795724
DSS 24,9605.66796,741.970947365921,-4590.980799132192,-2702.146428600033
DSS 24,9665.66796,760.384728030654,-4583.255671223369,-2710.12977990133
DSS 24,9725.66796,778.7673221009355,-4575.442806288256,-2718.0996101585824
DSS 24,9785.66796,797.118377679719,-4567.542353888124,-2726.0557668057427
DSS 24,9845.66796,815.4375434736954,-4559.554465260923,-2733.998097538514
DSS 24,9905.66796,833.724468800022,-4551.479293318394,-2741.926450317271
DSS 24,9965.66796,851.9788035930329,-4543.316992643135,-2749.8406733699658
DSS 24,10025.66796,870.200198410941,-4535.0677194856435,-2757.7406151950363
DSS 24,10085.66796,888.3883044425282,-4526.731631761332,-2765.6261245643045
DSS 24,10145.66796,906.5427735138211,-4518.3088890474955,-2773.4970505258725
DSS 24,10205.66796,924.6632580947563,-4509.799652580262,-2781.353242407011
DSS 24,10265.66796,942.7494113058355,-4501.204085251506,-2789.194549817046
DSS 24,10325.66796,960.800886924763,-4492.522351605727,-2797.0208226502355
DSS 24,10385.66796,978.8173393930741,-4483.754617836903,-2804.831911088642
DSS 24,10445.66796,996.7984238227515,-4474.90105178531,-2812.627665605004
DSS 24,10505.66796,1014.7437960028254,-4465.961822934305,-2820.407936965597
DSS 24,10565.66796,1032.6531124059643,-4456.9371024070815,-2828.1725762330875
DSS 24,10625.66796,1050.5260301950516,-4447.827062963399,-2835.921434769388
DSS 24,10685.66796,1068.362207229744,-4438.631878996272,-2843.6543642385004
DSS 24,10745.66796,1086.1613020730288,-4429.351726528631,-2851.3712166093555
DSS 24,10805.66796,1103.9229739977536,-4419.986783209954,-2859.0718441586478
DSS 24,10865.66796,1121.6468829931505,-4410.537228312869,-2866.7560994736614
DSS 24,10925.66796,1139.3326897713473,-4401.003242729714,-2874.4238354550953
DSS 24,10985.66796,1156.9800557738595,-4391.385008969084,-2882.0749053198765
DSS 24,11045.66796,1174.588643178071,-4381.682711152329,-2889.7091626039687
DSS 24,11105.66796,1192.1581149037052,-4371.896535010035,-2897.326461165181
DSS 24,11165.66796,1209.6881346192722,-4362.0266678784665,-2904.92665518596
DSS 24,11225.66796,1227.178366748512,-4352.073298695977,-2912.509599176185
DSS 24,11285.66796,1244.6284764768156,-4342.036617999402,-2920.075147975951
DSS 24,11345.66796,1262.0381297576341,-4331.916817920398,-2927.623156758349
DSS 24,11405.66796,1279.4069933188757,-4321.714092181775,-2935.1534810322373
DSS 24,11465.66796,1296.7347346692836,-4311.428636093786,-2942.6659766450075
DSS 24,11525.66796,1314.0210221048005,-4301.060646550382,-2950.1604997853447
DSS 24,11585.66796,1331.2655247149205,-4290.6103220254545,-2957.63690698598
DSS 24,11645.66796,1348.4679123890228,-4280.077862569021,-2965.095055126437
DSS 24,11705.66796,1365.6278558226877,-4269.4634698034115,-2972.5348014357714
DSS 24,11765.66796,1382.7450265240086,-4258.767346919396,-2979.9560034953047
DSS 24,11798.96796,1392.2264788394687,-4252.795806335764,-2984.0667163390713
DSS 24,11858.96796,1409.276487318215,-4241.973000440348,-2991.458800010222
DSS 24,11918.96796,1426.2828875011205,-4231.0689906751595,-2998.8319771704464
DSS 24,11978.96796,1443.2453538355458,-4220.083985775094,-3006.1861066753936
DSS 24,12038.96796,1460.1635616098733,-4209.018196025533,-3013.521047745343
DSS 24,12098.96796,1477.0371869597293,-4197.871833258316,-3020.8366599678984
DSS 24,12158.96796,1493.865906874175,-4186.64511084769,-3028.1328033006725
DSS 24,12218.96796,1510.6493992018945,-4175.338243706221,-3035.4093380739705
DSS 24,12278.96796,1527.3873426573641,-4163.951448280682,-3042.666124993464
DSS 24,12338.96796,1544.0794168269958,-4152.48494254791,-3049.9030251428567
DSS 24,12398.96796,1560.7253021752786,-4140.938946010629,-3057.119899986542
DSS 24,12458.96796,1577.3246800508896,-4129.313679693255,-3064.316611372259
DSS 24,12518.96796,1593.8772326927956,-4117.60936613766,-3071.493021533734
DSS 24,12578.96796,1610.3826432363398,-4105.826229398914,-3078.6489930933176
DSS 24,12638.96796,1626.8405957192995,-4093.964495040991,-3085.7843890646172
DSS 24,12698.96796,1643.2507750879408,-4082.024390132463,-3092.8990728551153
DSS 24,12758.96796,1659.6128672030522,-4070.006143242136,-3099.99290826879
DSS 24,12818.96796,1675.926558845947,-4057.909984434693,-3107.065759508715
DSS 24,12878.96796,1692.1915377244718,-4045.7361452662735,-3114.117491179666
DSS 24,12938.96796,1708.407492478977,-4033.4848587800516,-3121.1479682907084
DSS 24,12998.96796,1724.5741126882776,-4021.156359501773,-3128.157056257781
DSS 24,13058.96796,1740.6910888756006,-4008.7508834352593,-3135.144620906277
DSS 24,13118.96796,1756.7581125145043,-3996.2686680578977,-3142.1105284736063
DSS 24,13178.96796,1772.7748760347845,-3983.709952316093,-3149.0546456117618
DSS 24,13238.96796,1788.7410728283685,-3971.07497662069,-3155.9768393898676
DSS 24,13298.96796,1804.6563972551735,-3958.3639828423757,-3162.876977296726
DSS 24,13358.96796,1820.5205446489686,-3945.5772143070467,-3169.7549272433544
DSS 24,13418.96796,1836.3332113232018,-3932.71491579115,-3176.610557565513
DSS 24,13478.96796,1852.0940945768107,-3919.777333517004,-3183.443737026224
DSS 24,13538.96796,1867.8028927000223,-3906.764715148074,-3190.2543348182867
DSS 24,13598.96796,1883.4593049801283,-3893.677309784243,-3197.04222056678
DSS 24,13658.96796,1899.063031707236,-3880.515367957033,-3203.807264331558
DSS 24,13718.96796,1914.6137741800144,-3867.2791416248174,-3210.549336609739
DSS 24,13778.96796,1930.1112347114013,-3853.9688841679917,-3217.26830833818
DSS 24,13838.96796,1945.555116634313,-3840.584850384126,-3223.964050895953
DSS 24,13898.96796,1960.9451243073167,-3827.127296483086,-3230.6364361068054
DSS 24,13958.96796,1976.2809631202904,-3813.5964800821316,-3237.2853362416117
DSS 24,14018.96796,1991.5623395000657,-3799.992660200981,-3243.910624020821
DSS 24,14078.96796,2006.7889609160452,-3786.316097256854,-3250.512172616892
DSS 24,14138.96796,2021.9605358858012,-3772.5670530594875,-3257.08985565672
DSS 24,14198.96796,2037.0767739806588,-3758.7457908061256,-3263.643547224059
DSS 24,14258.96796,2052.137385831255,-3744.8525750764747,-3270.1731218619325
DSS 24,14318.96796,2067.142083133076,-3730.887671827645,-3276.678454575028
DSS 24,14378.96796,2082.0905786519756,-3716.8513483890597,-3283.1594208320994
DSS 24,14438.96796,2096.982586229679,-3702.7438734573298,-3289.6158965683444
DSS 24,14498.96796,2111.8178207892556,-3688.565517091118,-3296.047758187782
DSS 24,14558.96796,2126.595998340575,-3674.3165507059703,-3302.4548825656175
DSS 24,14618.96796,2141.316835985751,-3659.99724706911,-3308.837147050601
DSS 24,14678.96796,2155.9800519245487,-3645.6078802942284,-3315.194429467373
DSS 24,14738.96796,2170.585365459783,-3631.1487258362276,-3321.5266081188047
