Time (sec),Link Budget (kbps),Line Of Sight (1/0),Line Of Sight (deg),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z,Slant Distance (km)
79599.01746,0.0,0,-63.656431597098745,8001.979785423096,2910.574857934724,2879.4116808026897,-21185.32053,-28056.29441,-20403.15662,48506.942581877905
79659.01746,0.0,0,-63.710050832062414,7990.241689618071,2937.657430030431,2884.500768379326,-21016.94186,-27983.15652,-20366.06118,48353.925008514605
79719.01746,0.0,0,-63.76281686448461,7978.394990815808,2964.6837667018785,2889.636941119792,-20848.10889,-27909.41378,-20328.52549,48200.21049738076
79779.01746,0.0,0,-63.81471949971493,7966.439915797047,2991.653350585304,2894.8201007026,-20678.82001,-27835.06069,-20290.5452,48045.79460143746
79839.01746,0.0,0,-63.865748303777565,7954.376693417178,3018.565665403349,2900.0501479067902,-20509.07354,-27760.09167,-20252.11587,47890.67276496659
79899.01746,0.0,0,-63.91589267965096,7942.205554601836,3045.420195974973,2905.326982613844,-20338.86783,-27684.50105,-20213.23303,47734.84040641475
79959.01746,0.0,0,-63.96514185296294,7929.926732342506,3072.216428225276,2910.650503809584,-20168.20121,-27608.28306,-20173.89207,47578.292829327824
80019.01746,0.0,0,-64.01348484103518,7917.540461692046,3098.953849195379,2916.0206095861213,-19997.07201,-27531.43184,-20134.08836,47421.02529915823
80079.01746,0.0,0,-64.0609104570771,7905.046979760196,3125.631947052206,2921.437197143797,-19825.47854,-27453.94143,-20093.81717,47263.03298677438
80139.01746,0.0,0,-64.1074073286207,7892.446525709034,3152.250211098313,2926.900162793157,-19653.41912,-27375.80578,-20053.07366,47104.31098809689
80199.01746,0.0,0,-64.15296384181542,7879.739340748396,3178.808131781655,2932.409401956933,-19480.89204,-27297.01873,-20011.85295,46944.85432225682
80259.01746,0.0,0,-64.19756820435222,7866.925668131274,3205.305200705318,2937.964809172043,-19307.89562,-27217.57402,-19970.15006,46784.65794444454
80319.01746,0.0,0,-64.24120837787846,7854.005753149133,3231.7409106372934,2943.5662780916145,-19134.42813,-27137.46527,-19927.95989,46623.71667686812
80379.01746,0.0,0,-64.28387211009142,7840.979843127245,3258.1147555201405,2949.2137014870177,-18960.48788,-27056.68601,-19885.27731,46462.02532521256
80439.01746,0.0,0,-64.32554688791699,7827.848187419926,3284.426230480719,2954.9069712499186,-18786.07313,-26975.22966,-19842.09704,46299.57855519927
80499.01746,0.0,0,-64.36621999813018,7814.611037405781,3310.674831839828,2960.645978394349,-18611.18217,-26893.0895,-19798.41374,46136.370963908004
80559.01746,0.0,0,-64.40587845536402,7801.268646482895,3336.8600571218376,2966.430613058791,-18435.81327,-26810.25872,-19754.22195,45972.397054595225
80619.01746,0.0,0,-64.4445090076572,7787.82127006396,3362.981405064348,2972.260764508284,-18259.96469,-26726.73038,-19709.51615,45807.65124658834
80679.01746,0.0,0,-64.48209818387157,7774.269165571413,3389.0383756277324,2978.136321136538,-18083.63471,-26642.49742,-19664.29066,45642.12785002974
80739.01746,0.0,0,-64.51863221803161,7760.612592432484,3415.030470004764,2984.0571704680788,-17906.82159,-26557.55264,-19618.53975,45475.82108488861
80799.01746,0.0,0,-64.55409705321418,7746.851812074254,3440.957190630112,2990.0231991603914,-17729.52358,-26471.88874,-19572.25755,45308.72506914572
80859.01746,0.0,0,-64.58847839193179,7732.987087918624,3466.8180411899107,2996.0342930060983,-17551.73895,-26385.49825,-19525.43809,45140.83380998128
80919.01746,0.0,0,-64.62176159149757,7719.01868537729,3492.61252663124,3002.0903369351417,-17373.46594,-26298.3736,-19478.07529,44972.141217495606
80979.01746,0.0,0,-64.65393175996854,7704.946871846667,3518.340153171589,3008.191215016984,-17194.70283,-26210.50707,-19430.16295,44802.6411066143
81039.01746,0.0,0,-64.68497366897185,7690.771916702743,3544.000428308342,3014.3368104628344,-17015.44786,-26121.89078,-19381.69474,44632.32714129133
81099.01746,0.0,0,-64.71487177425008,7676.494091295963,3569.592860828172,3020.527005627873,-16835.69929,-26032.51672,-19332.66423,44461.1929036318
81159.01746,0.0,0,-64.74361020851924,7662.113668945989,3595.1169608164755,3026.7616820135186,-16655.45539,-25942.37674,-19283.06486,44289.23186731862
81219.01746,0.0,0,-64.7711727560071,7647.630924936513,3620.572239666715,3033.04072026968,-16474.7144,-25851.46251,-19232.88992,44116.43733959429
81279.01746,0.0,0,-64.79754288115352,7633.046136509949,3645.9582100898097,3039.3640001970525,-16293.47461,-25759.76556,-19182.1326,43942.802557740506
81339.01746,0.0,0,-64.82270365358863,7618.359582862144,3671.274386123447,3045.7314007494188,-16111.73427,-25667.27726,-19130.78592,43768.32059190069
81399.01746,0.0,0,-64.8466378033503,7603.571545137043,3696.520283141367,3052.142800035956,-15929.49167,-25573.98881,-19078.84279,43592.984413156286
81459.01746,0.0,0,-64.86932766532392,7588.68230642128,3721.6954178626784,3058.5980753235817,-15746.74508,-25479.89122,-19026.29597,43416.78682800823
81519.01746,0.0,0,-64.89075518303143,7573.692151738787,3746.799308361069,3065.097103039292,-15563.49279,-25384.97536,-18973.13805,43239.720524270786
81579.01746,0.0,0,-64.91090190743493,7558.60136804532,3771.831474074069,3071.639758772538,-15379.7331,-25289.23189,-18919.36149,43061.77803972055
81639.01746,0.0,0,-64.92974894404512,7543.410244222967,3796.7914358122266,3078.2259172775985,-15195.46431,-25192.65131,-18864.9586,42882.95178115314
81699.01746,0.0,0,-64.94727702621928,7528.119071074629,3821.678715768276,3084.855452475981,-15010.68476,-25095.2239,-18809.92151,42703.23399067171
81759.01746,0.0,0,-64.96346636675965,7512.728141318437,3846.4928375263135,3091.5282374588387,-14825.39275,-24996.93977,-18754.24219,42522.61674814127
81819.01746,0.0,0,-64.97829678573844,7497.237749582171,3871.233326070882,3098.2441444893902,-14639.58665,-24897.78882,-18697.91245,42341.09200328396
81879.01746,0.0,0,-64.9917475995014,7481.648192397593,3895.899707796096,3105.003045005378,-14453.26482,-24797.76075,-18640.92392,42158.65153080787
81939.01746,0.0,0,-65.00379763226876,7465.959768194798,3920.491510514676,3111.8048096215152,-14266.42562,-24696.84502,-18583.26805,41975.28690963337
81999.01746,0.0,0,-65.01442523080851,7450.172777296471,3945.0082634670207,3118.6493081319763,-14079.06747,-24595.03091,-18524.9361,41790.98959067547
82059.01746,0.0,0,-65.02360819575536,7434.287521912165,3969.449497330201,3125.5364095128807,-13891.18878,-24492.30745,-18465.91915,41605.75081897617
82119.01746,0.0,0,-65.03132381423418,7418.3043061325025,3993.8147442269305,3132.4659819248004,-13702.788,-24388.66344,-18406.20807,41419.56165868183
82179.01746,0.0,0,-65.03754878810625,7402.223435923355,4018.103537734557,3139.437892715292,-13513.86359,-24284.08746,-18345.79353,41232.41299070282
82239.01746,0.0,0,-65.04225926474965,7386.045219119995,4042.315412893956,3146.452008421424,-13324.41405,-24178.56783,-18284.666,41044.29550178461
