Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
152.094466,DSS54,2675.3759173271,-12888.2416,7888.55065,8418.019138
153.094466,DSS54,2675.3759173271,-13246.87102,7864.356056,8449.418012
154.094466,DSS54,2675.3759173271,-13601.99612,7838.080537,8478.580313
155.094466,DSS54,2675.3759173271,-13953.6847,7809.824305,8505.599266
156.094466,DSS54,2675.3759173271,-14302.00322,7779.681459,8530.562802
157.094466,DSS54,2675.3759173271,-14647.0167,7747.740437,8553.553931
158.094466,DSS54,2675.3759173271,-14988.78867,7714.084442,8574.651087
159.094466,DSS54,2675.3759173271,-15327.38119,7678.791812,8593.928444
160.094466,DSS54,2675.3759173271,-15662.85482,7641.936383,8611.456201
161.094466,DSS54,2675.3759173271,-15995.26863,7603.587797,8627.300853
162.094466,DSS54,2675.3759173271,-16324.68018,7563.811802,8641.525435
163.094466,DSS54,2675.3759173271,-16651.14556,7522.670522,8654.18975
164.094466,DSS54,2675.3759173271,-16974.71941,7480.2227,8665.350577
165.094466,DSS54,2675.3759173271,-17295.45494,7436.523929,8675.061862
166.094466,DSS54,2675.3759173271,-17613.40393,7391.62686,8683.374901
167.094466,DSS54,2675.3759173271,-17928.61682,7345.581397,8690.3385
168.094466,DSS54,2675.3759173271,-18241.14268,7298.434872,8695.999134
169.094466,DSS54,2675.3759173271,-18551.02927,7250.232212,8700.401081
170.094466,DSS54,2675.3759173271,-18858.32306,7201.016091,8703.586562
171.094466,DSS54,2675.3759173271,-19163.06929,7150.827069,8705.595855
172.094466,DSS54,2675.3759173271,-19465.31199,7099.703724,8706.467413
173.094466,DSS54,2675.3759173271,-19765.09399,7047.68277,8706.237971
174.094466,DSS54,2675.3759173271,-20062.457,6994.799173,8704.942638
175.094466,DSS54,2675.3759173271,-20357.44161,6941.086252,8702.614996
176.094466,DSS54,2675.3759173271,-20650.08732,6886.575775,8699.287177
177.094466,DSS54,2675.3759173271,-20940.4326,6831.298052,8694.989952
178.094466,DSS54,2675.3759173271,-21228.51492,6775.282017,8689.752797
179.094466,DSS54,2675.3759173271,-21514.37073,6718.555305,8683.603966
180.094466,DSS54,2675.3759173271,-21798.03557,6661.144325,8676.570557
181.094466,DSS54,2675.3759173271,-22079.54404,6603.07433,8668.67857
