Time (sec),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
4898.3479218,0.0,0,4406.349411169418,6262.781615574038,4737.225172778331,2530.0,-5480.0,-4920.0
4958.3479218,0.0,0,4381.190286334468,6272.165162905528,4748.132988812835,2900.0,-5300.0,-4830.0
5018.3479218,0.0,0,4355.993734704925,6281.428642503673,4759.057031349367,3270.0,-5100.0,-4720.0
5078.3479218,0.0,0,4330.760238617073,6290.571877038159,4769.997091269547,3620.0,-4890.0,-4590.0
5138.3479218,0.0,0,4305.490281114422,6299.594691480523,4780.952959148374,3960.0,-4660.0,-4450.0
5198.3479218,0.0,0,4280.184345938462,6308.496913107495,4791.924425258236,4290.0,-4410.0,-4290.0
5258.3479218,0.0,0,4254.842917519402,6317.278371504306,4802.911279572923,4600.0,-4150.0,-4120.0
5318.3479218,0.0,0,4229.466480966895,6325.938898567952,4813.913311771653,4900.0,-3880.0,-3940.0
5378.3479218,0.0,0,4204.055522060754,6334.478328510411,4824.930311243092,5180.0,-3590.0,-3740.0
5438.3479218,0.0,0,4178.610527241652,6342.896497861818,4835.962067089388,5440.0,-3290.0,-3520.0
5498.3479218,0.0,0,4153.131983601807,6351.193245473592,4847.00836813021,5680.0,-2970.0,-3300.0
5558.3479218,0.0,0,4127.620378875663,6359.368412521521,4858.069002906789,5900.0,-2650.0,-3060.0
5618.3479218,0.0,0,4102.07620143055,6367.421842508808,4869.143759685965,6090.0,-2310.0,-2810.0
5678.3479218,0.0,0,4076.499940257336,6375.353381269057,4880.232426464241,6260.0,-1970.0,-2540.0
5738.3479218,0.0,0,4050.8920849610663,6383.162876969233,4891.334790971844,6410.0,-1610.0,-2270.0
5798.3479218,0.0,0,4025.25312575159,6390.850180112564,4902.450640676783,6530.0,-1250.0,-1990.0
5858.3479218,0.0,0,3999.5835534341777,6398.415143541401,4913.5797627889215,6620.0,-888.0,-1700.0
5918.3479218,0.0,0,3973.883859400125,6405.857622440044,4924.721944264053,6680.0,-519.0,-1400.0
5978.3479218,0.0,0,3948.154535617343,6413.1774743375,4935.87697180797,6710.0,-148.0,-1100.0
6006.493955999999,0.0,0,3936.074825068298,6416.568926645968,4941.114167508672,6710.0,26.6,-951.0
6066.493955999999,0.0,0,3910.3028656636734,6423.708373673413,4952.287679857711,6700.0,400.0,-637.0
6126.493955999999,0.0,0,3884.502493637997,6430.724851983666,4963.473510586086,6650.0,777.0,-317.0
6186.493955999999,0.0,0,3858.674202886456,6437.618227260645,4974.671445564019,6560.0,1150.0,9.66
6246.493955999999,0.0,0,3832.818487838684,6444.388367544824,4985.88127043002,6440.0,1530.0,340.0
6306.493955999999,0.0,0,3806.935843449298,6451.0351432357575,4997.10277059499,6280.0,1900.0,674.0
