Time (sec),Link Budget (kbps),Antenna X,Antenna Y,Antenna Z,Satelite X,Satelite Y,Satelite Z,Slant Distance (km)
4598.3479218,429849.9158365478,2796.7950805216824,6942.519915465023,5032.760620220089,980.2528268,-6036.87002,-5162.875933,16604.67986989706
4658.3479218,437409.59541990963,2768.921338520161,6944.92151178123,5044.845366885181,1375.242814,-5922.568637,-5125.484337,16460.566480058333
4718.3479218,445807.30237857776,2741.038222780304,6947.190161824097,5056.934177563389,1766.310234,-5791.390497,-5073.456042,16304.794934438907
4778.3479218,455114.1082603044,2713.146267067154,6949.325822164974,5069.026820839236,2152.23869,-5643.375866,-5006.646323,16137.22226464665
4838.3479218,465411.312002425,2685.2460053149757,6951.328451921023,5081.123065223877,2531.775311,-5478.612637,-4924.944882,15957.706116247464
4898.3479218,476792.00737727026,2657.337971617037,6953.198012756008,5093.222679159531,2903.631839,-5297.240354,-4828.279368,15766.106168568978
4958.3479218,489362.9533441186,2629.422700215385,6954.934468881023,5105.3254310239145,3266.486266,-5099.454462,-4716.619167,15562.285763037778
5018.3479218,503246.81316709815,2601.500725490616,6956.537787055177,5117.431089134674,3618.985099,-4885.510752,-4589.97946,15346.113762810628
5078.3479218,518584.8453440751,2573.572581951648,6958.007936586235,5129.539421753823,3959.746345,-4655.729972,-4448.425512,15117.46665889872
5138.3479218,535540.1499767757,2545.638804225488,6959.344889331197,5141.650197092175,4287.363317,-4410.502549,-4292.077183,14876.230951797801
5198.3479218,554301.6032034965,2517.6999270469987,6960.54861969685,5153.763183313787,4600.40936,-4150.293355,-4121.113606,14622.30581767966
5258.3479218,575088.6469628462,2489.7564852486607,6961.619104640243,5165.878148540386,4897.443603,-3875.646439,-3935.77799,14355.606089071533
5318.3479218,598157.1511993409,2461.809013750337,6962.556323669139,5177.994860855823,5177.017819,-3587.189611,-3736.382462,14076.065543908906
5378.3479218,623806.6249586918,2433.8580475490267,6963.360258842403,5190.113088310499,5437.684504,-3285.638774,-3523.31287,13783.640538211905
5438.3479218,652389.1399596615,2405.904121708633,6964.030894770344,5202.232598925812,5678.006233,-2971.801836,-3297.033429,13478.31396332711
5498.3479218,684320.4387837789,2377.947771349709,6964.568218615015,5214.353160698598,5896.566344,-2646.582059,-3058.09108,13160.099544994566
5558.3479218,720093.8530071699,2349.989531639228,6964.972220090453,5226.474541605569,6091.980981,-2310.980638,-2807.119416,12829.046469176199
5618.3479218,760297.8623126725,2322.0299377803235,6965.242891462878,5238.596509607759,6262.912469,-1966.09832,-2544.841983,12485.244319942469
5678.3479218,805638.405659483,2294.069525002056,6965.380227550842,5250.718832654959,6408.083954,-1613.135849,-2272.074799,12128.828336740236
5738.3479218,856967.4527834184,2266.108828549161,6965.384225725328,5262.841278690167,6526.295185,-1253.39301,-1989.727857,11759.984953652465
5798.3479218,915319.8878808643,2238.148383671806,6965.254885909799,5274.963615654026,6616.43925,-888.2660616,-1698.805436,11378.957639826049
5858.3479218,981961.5356127134,2210.1887256153414,6964.992210580199,5287.085611489266,6677.520019,-519.2433684,-1400.40499,10986.053050642628
5918.3479218,1058452.2666843864,2182.2303896100534,6964.59620476491,5299.207034145147,6708.669958,-147.8990401,-1095.714446,10581.647532956951
5978.3479218,1096112.0612671252,2154.2739108609235,6964.06687604465,5311.327651581903,6712.758423,26.63310567,-950.9746977,10398.278659449752
6006.493955999999,1193670.8228183512,2141.1603024892797,6963.772630283615,5317.013096866855,6696.992724,400.4799717,-637.3789476,9964.29647262244
6066.493955999999,1306742.641241665,2113.2075228489257,6963.047455909269,5329.132110543612,6646.420776,776.745842,-316.7141186,9523.441064023871
6126.493955999999,1441918.5712261444,2085.2579217658977,6962.1889882775695,5341.249746147054,6560.698231,1153.744249,9.661088304,9066.059445381958
6186.493955999999,1605113.4470160012,2057.3120342779657,6961.19724382212,5353.365771709908,6439.688501,1529.736707,340.314087,8592.826906944418
6246.493955999999,1804328.0415301966,2029.3703953518077,6960.072241527834,5365.479955295723,6283.499912,1902.952138,673.7492394,8104.592450975073
6306.493955999999,2050579.487958057,2001.4335398727712,6958.814002930572,5377.592065003311,6092.522517,2271.614615,1008.425723,7602.398413992997
6366.493955999999,2359347.815737943,1973.5020026346376,6957.422552116729,5389.701868971182,5867.46144,2633.979879,1342.783248,7087.497934556087
6426.493955999999,2752889.391252337,1945.57631832938,6955.897915722777,5401.809135381985,5609.362934,2988.380152,1675.275794,6561.370307721897
6486.493955999999,3264056.372655473,1917.6570215369277,6954.240122934752,5413.913632466943,5319.629075,3333.275631,2004.412591,6025.736059284394
6546.493955999999,3942832.9003856597,1889.744646714936,6952.449205487694,5426.015128510297,5000.017252,3667.309729,2328.804432,5482.5770544281795
6606.493955999999,4867982.33394017,1861.8397281885527,6950.525197665046,5438.113391853732,4652.621729,3989.363871,2647.212205,4934.173691042039
6666.493955999999,6168767.661547097,1833.942800140189,6948.468136297986,5450.208190900819,4279.83633,4298.606782,2958.593554,4383.184214156467
6726.493955999999,8067545.0932972515,1806.054396599298,6946.278060764738,5462.299294121447,3884.299755,4594.53303,3262.143046,3832.818281054888
6786.493955999999,10967831.059981838,1778.1750514321438,6943.955012989802,5474.38647005625,3468.827676,4876.986242,3557.321435,3287.218359926899
6846.493955999999,15645214.944863422,1750.3052983315915,6941.499037443162,5486.469487321046,3036.337994,5146.164063,3843.870632,2752.3151644186737
6906.493955999999,23665855.75622567,1722.445670806881,6938.91018113943,5498.54811461126,2589.776888,5402.604175,4121.8127,2237.833771007717
6966.493955999999,38162545.24357344,1694.596702173424,6936.188493636949,5510.622120706353,2132.05316,5647.153063,4391.433208,1762.2611373619934
7026.493955999999,63162632.200878486,1666.7589255425837,6933.334027036844,5522.691274474252,1672.447436,5877.770421,4649.696726,1369.805229660952
7085.66796,92035198.87898786,1639.315861945905,6930.388860197591,5534.589299190911,1200.86585,6097.559614,4900.645816,1134.780730439867
7145.66796,88064410.11310537,1611.501895427086,6927.270827849334,5546.648130011436,725.7896108,6299.720009,5137.39988,1160.0820710256774
7205.66796,58852882.93871225,1583.700711590473,6924.020187113867,5558.701418860732,248.7789951,6485.267464,5360.582199,1419.0740524989983
7265.66796,36401420.188707955,1555.9128426326902,6920.6370002180365,5570.7489350033175,-228.8477907,6655.225876,5570.85756,1804.3873184414085
7325.66796,23527663.674791653,1528.1388204954774,6917.121331926015,5582.790447814212,-705.9892831,6810.602567,5768.908036,2244.39621885009
7385.66796,16179092.970780848,1500.3791768555045,6913.473249538059,5594.825726783358,-1181.734418,6952.371088,5955.414842,2706.523764454776
7445.66796,11747674.724825582,1472.634443114192,6909.692822889218,5606.854541520033,-1655.336943,7081.459971,6131.045275,3176.237533715877
7505.66796,8912564.493804164,1444.905150387544,6905.780124348007,5618.876661757259,-2126.191647,7198.746041,6296.44371,3646.595462824975
7565.66796,7002265.959217462,1417.1918294959778,6901.735228815012,5630.8918573562105,-2593.812933,7305.051127,6452.22579,4114.05060097786
7625.66796,5658112.508611937,1389.495010954162,6897.558213721457,5642.8998983106185,-3057.815918,7401.141205,6598.975,4576.707323826873
7685.667960000001,4677690.43957464,1361.8152249608595,6893.249159027728,5654.900554751177,-3517.900033,7487.727244,6737.241024,5033.536141090284
7745.667960000001,3940800.4385295585,1334.1530013887857,6888.808147221834,5666.893596949939,-3973.834956,7565.467172,6867.539369,5483.9906875868965
7805.667960000001,3372793.1626461325,1306.5088697744518,6884.235263317834,5678.878795324719,-4425.448652,7634.968539,6990.351878,5927.807278347112
7865.667960000001,2925469.457833553,1278.883359308043,6879.530594854213,5690.855920443485,-4872.61727,7696.791586,7106.127839,6364.893567333273
7925.667960000001,2566641.7204685076,1251.2769988232762,6874.69423189219,5702.824743028748,-5315.256657,7751.452479,7215.285474,6795.263551891232
7985.667960000001,2274175.684682808,1223.6903167872829,6869.726267014014,5714.785033961958,-5753.315257,7799.426581,7318.213646,7218.998044353987
8045.667960000001,2032455.371700695,1196.12384129049,6864.62679532118,5726.736564287883,-6186.768177,7841.151646,7415.273681,7636.2198064386
8105.667960000001,1830212.3990937567,1168.5781000365128,6859.39591443261,5738.679105218998,-6615.612252,7877.030882,7506.801208,8047.0774902629655
8165.667960000001,1659151.7639734328,1141.0536203320507,6854.033724482786,5750.612428139858,-7039.861933,7907.435834,7593.107983,8451.735038722225
8225.66796,1513057.8613820714,1113.5509290767968,6848.540328119834,5762.536304611479,-7459.54588,7932.709079,7674.483644,8850.36459174325
8285.66796,1387198.5926241197,1086.0705527533464,6842.915830503555,5774.450506375712,-7874.704133,7953.166718,7751.197386,9243.141686035597
8345.66796,1277919.3897952759,1058.613017417122,6837.160339303418,5786.354805359608,-8285.385762,7969.100667,7823.499537,9630.241988281743
8405.66796,1182361.1149883843,1031.1788486863034,6831.273964696493,5798.248973679787,-8691.646928,7980.78076,7891.623028,10011.839086179201
8465.66796,1098260.5040667055,1003.7685717317636,6825.256819365342,5810.132783646799,-9093.549275,7988.45666,7955.784767,10388.103002995676
8525.66796,1023806.6866378839,976.3827112670168,6819.10901849587,5822.006007769487,-9491.158605,7992.359609,8016.186895,10759.199223072459
8585.66796,957536.4826647934,949.0217915381736,6812.83067977511,5833.8684187593335,-9884.543776,7992.704013,8073.017962,11125.288071128713
8645.66796,898256.9477084957,921.686336313905,6806.421923388976,5845.719789534818,-10273.7758,7989.68888,8126.45399,11486.524349402536
8705.66796,844987.3528318498,894.3768688754171,6799.882872019959,5857.559893225765,-10658.92711,7983.499129,8176.659459,11843.05716730525
8765.66796,796915.2223238229,867.0939120064336,6793.213650844781,5869.38850317768,-11040.07094,7974.306774,8223.788213,12195.029879915563
8825.66796,753362.6626279958,839.837987983185,6786.414387532,5881.205392956095,-11417.28082,7962.272004,8267.984275,12542.580118898652
8885.66796,713760.3136091194,812.6096185644165,6779.485212239561,5893.0103363509,-11790.63019,7947.54415,8309.382614,12885.839915909866
8945.66796,677627.0177279836,785.4093249813959,6772.426257612307,5904.803107380674,-12160.19205,7930.262579,8348.109824,13224.935826631518
9005.66796,644553.8060832705,758.2376279279358,6765.237658779443,5916.583480297011,-12526.03872,7910.55749,8384.284765,13559.989131058677
9065.66796,614191.192302987,731.0950475504285,6757.919553351945,5928.351229588842,-12888.2416,7888.55065,8418.019138,13891.115998730631
9125.66796,586239.0065038753,703.9821034378849,6750.4720814199245,5940.106129986751,-13246.87102,7864.356056,8449.418012,14218.427708497722
9185.66796,560438.2080480797,676.8993146119951,6742.895385549953,5951.847956467285,-13601.99612,7838.080537,8478.580313,14542.030867457588
9245.66796,536564.2519595006,649.8471995171824,6735.189610782328,5963.576484257271,-13953.6847,7809.824305,8505.599266,14862.027569922324
9305.66796,514421.66778675653,622.8262760106875,6727.354904628297,5975.291488838106,-14302.00322,7779.681459,8530.562802,15178.515676636322
9365.66796,493839.61908622785,595.8370613526522,6719.391417067234,5986.992745950062,-14647.0167,7747.740437,8553.553931,15491.588969934115
9425.66796,474668.2361882415,568.8800721962166,6711.299300543771,5998.680031596581,-14988.78867,7714.084442,8574.651087,15801.33733612794
9485.66796,456775.5705830357,541.9558245776302,6703.078709964875,6010.353122048558,-15327.38119,7678.791812,8593.928444,16107.846994056132
9545.66796,440045.0591123433,515.0648339063728,6694.729802696887,6022.0117938486255,-15662.85482,7641.936383,8611.456201,16411.200656007688
9605.66796,424373.39787132636,488.2076149552879,6686.252738562507,6033.655823815433,-15995.26863,7603.587797,8627.300853,16711.477710389874
9665.66796,409668.7548685656,461.38468185072816,6677.647679837733,6045.2849890479165,-16324.68018,7563.811802,8641.525435,17008.754359178238
9725.66796,395849.2568114225,434.5965480627169,6668.914791248763,6056.899066929567,-16651.14556,7522.670522,8654.18975,17303.10380028342
9785.66796,382841.7062482731,407.84372639511207,6660.054239968829,6068.497835132694,-16974.71941,7480.2227,8665.350577,17594.596376630412
9845.66796,370580.48880908126,381.12672897579614,6651.066195615009,6080.081071622675,-17295.45494,7436.523929,8675.061862,17883.299713792552
9905.66796,359006.6396320251,354.4460672468697,6641.950830244968,6091.648554662214,-17613.40393,7391.62686,8683.374901,18169.278827940725
9965.66796,348067.03886321635,327.80225195485855,6632.708318353674,6103.200062815583,-17928.61682,7345.581397,8690.3385,18452.596311908324
10025.66796,337713.72351062973,301.1957931409422,6623.338836870055,6114.735374952857,-18241.14268,7298.434872,8695.999134,18733.312395381152
10085.66796,327903.2897169813,274.62720013118565,6613.842565153612,6126.254270254152,-18551.02927,7250.232212,8700.401081,19011.485084476655
10145.66796,318596.37616583693,248.0969815267904,6604.2196849909815,6137.756528213852,-18858.32306,7201.016091,8703.586562,19287.170256825153
10205.66796,309757.21385722497,221.60564519436,6594.47038059246,6149.241928644828,-19163.06929,7150.827069,8705.595855,19560.42178749425
10265.66796,301353.2349035409,195.15369825617427,6584.59483858848,6160.710251682653,-19465.31199,7099.703724,8706.467413,19831.291631341785
