Antenna,Time (sec),X,Y,Z
DSS 24,13838.96796,126.55106931201999,6416.061988703215,6293.82804829289
DSS 24,13898.96796,100.81656346578939,6405.554950247202,6304.985322536372
DSS 24,13958.96796,75.12448147950863,6394.925290584044,6316.124203784754
DSS 24,14018.96796,49.475315175370724,6384.173213196762,6327.24447880701
DSS 24,14078.96796,23.869555554040744,6373.298923911822,6338.34593472829
DSS 24,14138.96796,-1.6923072147474159,6362.302630895179,6349.4283590339965
DSS 24,14198.96796,-27.209783801578396,6351.184544648302,6360.491539573854
DSS 24,14258.96796,-52.68238572671817,6339.94487800414,6371.535264565973
DSS 24,14318.96796,-78.10962536946317,6328.583846123052,6382.559322600893
DSS 24,14378.96796,-103.4910159774804,6317.101666488684,6393.563502645642
DSS 24,14438.96796,-128.82607167612468,6305.498558903804,6404.547594047772
DSS 24,14498.96796,-154.11430747773284,6293.774745486104,6415.511386539389
DSS 24,14558.96796,-179.35523929091278,6281.930450663936,6426.454670241179
DSS 24,14618.96796,-204.54838392981628,6269.965901172023,6437.37723566643
DSS 24,14678.96796,-229.69325912337627,6257.881326047118,6448.278873725035
DSS 24,14738.96796,-254.7893835245468,6245.676956623618,6459.159375727501
DSS 24,14798.96796,-279.8362767195172,6233.353026529136,6470.018533388942
DSS 24,14858.96796,-304.83345923690604,6220.909771680026,6480.856138833063
DSS 24,14918.96796,-329.7804525569413,6208.347430276874,6491.671984596143
DSS 24,14978.96796,-354.6767791206198,6195.666242799933,6502.465863631009
DSS 24,15038.96796,-379.5219623388507,6182.866452004515,6513.23756931099
DSS 24,15098.96796,-404.3155266015733,6169.948302916358,6523.986895433882
DSS 24,15158.96796,-429.05699728687387,6156.912042826919,6534.71363622589
DSS 24,15218.96796,-453.74590077005496,6143.757921288651,6545.417586345572
DSS 24,15278.96796,-478.38176443271504,6130.486190110223,6556.098540887762
DSS 24,15338.96796,-502.96411667179063,6117.0971033517,6566.756295387501
DSS 24,15398.967960000002,-527.4924869085839,6103.590917319674,6577.390645823947
DSS 24,15458.967960000002,-551.9664055977723,6089.967890562368,6588.001388624277
DSS 24,15518.967960000002,-576.3854042363951,6076.228283864677,6598.588320667591
DSS 24,15578.967960000002,-600.7490153728227,6062.372360243184,6609.151239288796
DSS 24,15638.967960000002,-625.0567726157101,6048.4003849411165,6619.689942282489
DSS 24,15698.967960000002,-649.3082106429174,6034.3126254232775,6630.204227906823
DSS 24,15758.967960000002,-673.5028652104188,6020.109351370915,6640.69389488737
DSS 24,15818.967960000002,-697.640273161192,6005.790834676573,6651.158742420979
DSS 24,15878.967960000002,-721.7199724340894,5991.357349438873,6661.598570179616
DSS 24,15938.967960000002,-745.7415020726694,5976.80917195728,6672.013178314197
DSS 24,15998.967960000002,-769.7044022340319,5962.146580726801,6682.402367458415
DSS 24,16058.967960000002,-793.6082141976217,5947.369856432661,6692.765938732564
DSS 24,16118.967960000002,-817.452480374001,5932.479281944931,6703.103693747331
DSS 24,16178.967960000002,-841.2367443136136,5917.475142313107,6713.415434607608
DSS 24,16238.967960000002,-864.9605507155284,5902.357724760659,6723.700963916273
DSS 24,16298.967960000002,-888.6234454361443,5887.12731867953,6733.960084777971
DSS 24,16358.967960000002,-912.2249754978916,5871.784215624593,6744.19260080288
DSS 24,16418.96796,-935.7646890979008,5856.328709308078,6754.398316110478
DSS 24,16478.96796,-959.2421356166515,5840.7610955939435,6764.577035333281
DSS 24,16538.96796,-982.6568656265995,5825.081672492215,6774.728563620596
DSS 24,16598.96796,-1006.0084309007793,5809.290740153275,6784.852706642241
DSS 24,16658.96796,-1029.296384421386,5793.388600862126,6794.949270592269
DSS 24,16718.96796,-1052.5202803883253,5777.3755590326,6805.018062192679
DSS 24,16778.96796,-1075.6796742277625,5761.251921201525,6815.058888697116
DSS 24,16838.96796,-1098.774122600617,5745.017996022867,6825.071557894555
DSS 24,16898.96796,-1121.8031834110584,5728.67409426182,6835.055878112988
DSS 24,16958.96796,-1144.766415814965,5712.2205287888455,6845.011658223089
DSS 24,17018.96796,-1167.6633802283682,5695.657614573699,6854.938707641876
DSS 24,17078.567658,-1190.3415437034082,5679.097259486038,6864.77089524017
DSS 24,17138.567658,-1213.1051078721357,5662.317325298024,6874.640108572152
DSS 24,17198.567658,-1235.8010958463124,5645.428997662281,6884.480024036926
DSS 24,17258.567658,-1258.4290731578108,5628.432599871192,6894.290453269499
DSS 24,17318.567658,-1280.9886066404347,5611.328457285921,6904.071208469331
DSS 24,17378.567658,-1303.4792644382005,5594.116897330184,6913.822102403932
DSS 24,17438.567658,-1325.9006160136096,5576.7982494839825,6923.542948412445
DSS 24,17498.567658,-1348.2522321558868,5559.372845277299,6933.233560409214
DSS 24,17558.567658,-1370.533684989201,5541.841018283743,6942.893752887358
DSS 24,17618.567658,-1392.7445479808543,5524.203104114173,6952.523340922309
DSS 24,17678.567658,-1414.884395949442,5506.459440410267,6962.122140175365
DSS 24,17738.567658,-1436.9528050730037,5488.610366838062,6971.6899668972055
DSS 24,17798.567658,-1458.9493528971211,5470.656225081451,6981.226637931418
DSS 24,17858.567658,-1480.873618343017,5452.597358835641,6990.731970718003
DSS 24,17918.567658,-1502.7251817156148,5434.434113800573,7000.2057832968685
DSS 24,17978.567658,-1524.503624711565,5416.166837674309,7009.647894311307
DSS 24,18038.567658,-1546.2085304272582,5397.795880146371,7019.058123011478
DSS 24,18098.567658,-1567.8394833668085,5379.321592891049,7028.436289257859
DSS 24,18158.567658,-1589.3960694500024,5360.744329560666,7037.782213524699
DSS 24,18218.567658,-1610.8778760202272,5342.0644457788185,7047.095716903452
DSS 24,18278.567658,-1632.2844918523706,5323.282299133551,7056.376621106207
DSS 24,18338.567658,-1653.6155071606927,5304.3982491705265,7065.624748469091
DSS 24,18398.567658,-1674.8705136066683,5285.412657386138,7074.839921955683
DSS 24,18458.567658,-1696.0491043068132,5266.325887220586,7084.021965160394
DSS 24,18518.567658,-1717.1508738404582,5247.138304050926,7093.170702311843
DSS 24,18578.567658,-1738.17541825752,5227.850275184068,7102.285958276232
DSS 24,18638.567658,-1759.1223350862301,5208.462169849754,7111.3675585606825
DSS 24,18698.567658,-1779.9912233408481,5188.97435919348,7120.415329316593
DSS 24,18758.567658,-1800.781683529322,5169.387216269399,7129.429097342956
DSS 24,18818.567658,-1821.493317660947,5149.701116033173,7138.408690089675
DSS 24,18878.567658,-1842.1257292539835,5129.9164353348015,7147.35393566087
DSS 24,18938.567658,-1862.6785233432452,5110.0335529114045,7156.264662818169
DSS 24,18998.567658,-1883.151306487653,5090.052849379972,7165.140700983982
DSS 24,19058.567658,-1903.543686777782,5069.974707230078,7173.981880244772
DSS 24,19118.567658,-1923.8552738433496,5049.799510816559,7182.788031354297
DSS 24,19178.567658,-1944.085678860693,5029.527646352158,7191.558985736865
DSS 24,19238.567658,-1964.234514560219,5009.159501900125,7200.2945754905495
DSS 24,19298.567658,-1984.3013952338065,4988.6954673668,7208.994633390407
DSS 24,19358.567658,-2004.2859367421938,4968.135934494135,7217.658992891679
DSS 24,19418.567658,-2024.18775652234,4947.481296852205,7226.287488132981
DSS 24,19478.567658,-2044.0064735947367,4926.731949831669,7234.879953939472
DSS 24,19538.567658,-2063.741708570707,4905.888290636208,7243.436225826025
DSS 24,19598.567658,-2083.3930836596696,4884.950718274908,7251.956140000371
DSS 24,19658.567658,-2102.9602226763677,4863.919633554635,7260.439533366232
DSS 24,19718.567658,-2122.4427510480687,4842.795439072358,7268.886243526449
DSS 24,19778.567658,-2141.8402958217434,4821.578539207437,7277.296108786084
DSS 24,19838.567658,-2161.1524856711926,4800.269340113889,7285.668968155523
DSS 24,19898.567658,-2180.378950904166,4778.868249712612,7294.004661353551
DSS 24,19958.567658,-2199.519323469431,4757.375677683573,7302.303028810425
DSS 24,20018.567658,-2218.5732369638304,4735.792035457965,7310.563911670925
DSS 24,20078.567658,-2237.540326639281,4714.117736210335,7318.7871517974
DSS 24,20138.567658,-2256.4202294097645,4692.353194850675,7326.9725917727865
DSS 24,20198.567658,-2275.212583858281,4670.498828016472,7335.120074903632
DSS 24,20258.567658,-2293.917030243759,4648.55505406474,7343.229445223087
DSS 24,20318.567658,-2312.533210507951,4626.522293064013,7351.300547493897
DSS 24,20378.567658,-2331.060768282279,4604.400966786289,7359.333227211368
DSS 24,20438.567658,-2349.499348894665,4582.191498698979,7367.327330606326
DSS 24,20498.567658,-2367.84859937631,4559.894313956778,7375.282704648063
DSS 24,20558.567658,-2386.1081684684655,4537.509839393542,7383.199197047268
DSS 24,20618.567658,-2404.2777066291405,4515.038503514109,7391.076656258934
DSS 24,20678.567658,-2422.356866039809,4492.480736486103,7398.914931485268
DSS 24,20738.567658,-2440.345300612056,4469.836970131686,7406.7138726785715
DSS 24,20798.567658,-2458.242665994208,4447.107637919311,7414.473330544119
DSS 24,20858.567658,-2476.048619577927,4424.293174955407,7422.193156543005
DSS 24,20918.567658,-2493.7628205047627,4401.394017976059,7429.8732028950035
DSS 24,20978.567658,-2511.3849296726826,4378.410605338644,7437.513322581384
DSS 24,21038.567658,-2528.9146097425632,4355.343377013444,7445.11336934773
DSS 24,21098.567658,-2546.3515251446456,4332.192774575215,7452.67319770674
DSS 24,21158.567658,-2563.695342084961,4308.959241194742,7460.19266294101
DSS 24,21218.567658,-2580.945728551716,4285.643221630357,7467.671621105805
DSS 24,21278.567658,-2598.1023543216556,4262.245162219414,7475.109929031816
DSS 24,21338.567658,-2615.1648909663813,4238.765510869754,7482.5074443279
DSS 24,21398.567658,-2632.133011858635,4215.204717051128,7489.864025383804
DSS 24,21458.567658,-2649.0063921785563,4191.563231786597,7497.179531372876
DSS 24,21518.567658,-2665.784708919898,4167.841507643886,7504.453822254765
DSS 24,21578.567658,-2682.467640896212,4144.0399987267365,7511.686758778096
DSS 24,21638.567658,-2699.054868746993,4120.159160666203,7518.87820248314
DSS 24,21698.567658,-2715.5460749437957,4096.199450611931,7526.028015704461
DSS 24,21758.567658,-2731.9409437963136,4072.1613272234135,7533.136061573554
DSS 24,21818.567658,-2748.239161458419,4048.045250661203,7540.202204021465
DSS 24,21878.567658,-2764.440415934177,4023.8516825781053,7547.226307781395
DSS 24,21938.567658,-2780.5443970838073,3999.5810861103423,7554.208238391289
DSS 24,21998.567658,-2796.550796629633,3975.2339258686893,7561.147862196411
DSS 24,22058.567658,-2812.4593081619764,3950.810667929573,7568.045046351898
DSS 24,22118.567658,-2828.2696271450227,3926.3117798261587,7574.899658825314
DSS 24,22178.567658,-2843.981450922652,3901.7377305393957,7581.711568399167
DSS 24,22238.567658,-2859.5944787242374,3877.088990489034,7588.480644673421
DSS 24,22298.567658,-2875.1084116703955,3852.3660315246343,7595.206758068002
DSS 24,22358.567658,-2890.5229527787064,3827.5693269165195,7601.889779825268
DSS 24,22418.567658,-2905.8378069694068,3802.699351346725,7608.529582012479
DSS 24,22478.567658,-2921.0526810710394,3777.7565808999043,7615.1260375242455
DSS 24,22538.567658,-2936.1672838260542,3752.7414930542245,7621.679020084961
