Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
3327.178301,WPSA,267.4836078087636,-229254.2162,-58214.51169,-16178.68544
3328.178301,WPSA,267.3443119339455,-229321.9903,-58245.92437,-16195.41806
3329.178301,WPSA,267.20496531444104,-229389.74,-58277.33061,-16212.14886
3330.178301,WPSA,267.065567837404,-229457.4652,-58308.73042,-16228.87783
3331.178301,WPSA,266.92611918960574,-229525.1659,-58340.12378,-16245.60498
3332.178301,WPSA,266.7866190369814,-229592.8421,-58371.51072,-16262.33031
3333.178301,WPSA,266.6470668647358,-229660.4939,-58402.89122,-16279.05381
3334.178301,WPSA,266.50746214245584,-229728.1214,-58434.26529,-16295.77549
3335.178301,WPSA,266.3678050035409,-229795.7244,-58465.63294,-16312.49534
3336.178301,WPSA,266.22809494292767,-229863.303,-58496.99416,-16329.21336
3337.178301,WPSA,266.08833144811746,-229930.8573,-58528.34896,-16345.92956
3338.178301,WPSA,265.9485144552607,-229998.3872,-58559.69734,-16362.64394
3339.178301,WPSA,265.80864347423716,-230065.8928,-58591.0393,-16379.35649
3340.178301,WPSA,265.66871822997393,-230133.3741,-58622.37485,-16396.06721
3341.178301,WPSA,265.52873846231535,-230200.8311,-58653.70398,-16412.77611
3342.178301,WPSA,265.38870412304715,-230268.2637,-58685.02671,-16429.48317
3343.178301,WPSA,265.2486145317023,-230335.6721,-58716.34302,-16446.18842
3344.178301,WPSA,265.10846943810367,-230403.0563,-58747.65293,-16462.89183
3345.178301,WPSA,264.96826881340866,-230470.4162,-58778.95644,-16479.59342
3346.178301,WPSA,264.8280122095271,-230537.7519,-58810.25355,-16496.29318
3347.178301,WPSA,264.6876994013089,-230605.0634,-58841.54425,-16512.99112
3348.178301,WPSA,264.547330153547,-230672.3507,-58872.82857,-16529.68722
3349.178301,WPSA,264.40690426160563,-230739.6138,-58904.10648,-16546.3815
3350.178301,WPSA,264.26642128442546,-230806.8528,-58935.37801,-16563.07395
3351.178301,WPSA,264.12588123742745,-230874.0676,-58966.64315,-16579.76457
3352.178301,WPSA,263.9852837060619,-230941.2583,-58997.9019,-16596.45336
3353.178301,WPSA,263.84462871111776,-231008.4248,-59029.15426,-16613.14032
3354.178301,WPSA,263.70391562746073,-231075.5673,-59060.40024,-16629.82546
3355.178301,WPSA,263.5631444864745,-231142.6857,-59091.63985,-16646.50876
3356.178301,WPSA,263.4223151181888,-231209.78,-59122.87307,-16663.19024
3357.178301,WPSA,263.28142713122327,-231276.8503,-59154.09992,-16679.86988
3358.178301,WPSA,263.14048056979885,-231343.8965,-59185.3204,-16696.5477
3359.178301,WPSA,262.9994750711458,-231410.9187,-59216.5345,-16713.22368
