Antenna,Time (sec),X,Y,Z
DSS 24,3518.3479217999998,-1223.0765072305844,-4900.0088494351385,-1850.1940544844003
DSS 24,3578.3479217999998,-1203.4034122060573,-4901.6516104651655,-1858.7233854036833
DSS 24,3638.3479217999998,-1183.7239110811704,-4903.200539431904,-1867.2554937075008
DSS 24,3698.3479217999998,-1164.0383805795964,-4904.655606684288,-1875.7902160661451
DSS 24,3758.3479217999998,-1144.3471975404284,-4906.016784368037,-1884.3273890998669
DSS 24,3818.3479217999998,-1124.6507389109636,-4907.284046426203,-1892.8668493820046
DSS 24,3878.3479217999998,-1104.9493817394914,-4908.457368599648,-1901.4084334421118
DSS 24,3938.3479217999998,-1085.2435031680732,-4909.536728427531,-1909.9519777690864
DSS 24,3998.3479217999998,-1065.5334804253243,-4910.522105247719,-1918.4973188143013
DSS 24,4058.3479217999998,-1045.8196908191899,-4911.413480197196,-1927.0442929947344
DSS 24,4118.3479218,-1026.1025117297247,-4912.210836212418,-1935.5927366961014
DSS 24,4178.3479218,-1006.382320601869,-4912.914158029639,-1944.1424862759866
DSS 24,4238.3479218,-986.6594949382213,-4913.523432185208,-1952.6933780669756
DSS 24,4298.3479218,-966.9344122918133,-4914.038647015817,-1961.2452483797897
DSS 24,4358.3479218,-947.2074502588823,-4914.4597926587385,-1969.797933506417
DSS 24,4418.3479218,-927.4789864716422,-4914.786861052004,-1978.351269723249
DSS 24,4478.3479218,-907.7493985910546,-4915.0198459345565,-1986.9050932942125
DSS 24,4538.3479218,-888.019064299601,-4915.158742846382,-1995.459240473905
DSS 24,4598.3479218,-868.2883612940493,-4915.203549128582,-2004.0135475107304
DSS 24,4658.3479218,-848.5576672782267,-4915.154263923434,-2012.5678506500308
DSS 24,4718.3479218,-828.8273599557892,-4915.0108881744,-2021.1219861372233
DSS 24,4778.3479218,-809.0978170229896,-4914.773424626115,-2029.6757902209351
DSS 24,4838.3479218,-789.3694161614469,-4914.441877824333,-2038.2290991561372
DSS 24,4898.3479218,-769.6425350309194,-4914.016254115836,-2046.7817492072786
DSS 24,4958.3479218,-749.917551262072,-4913.496561648317,-2055.3335766514215
DSS 24,5018.3479218,-730.1948424492491,-4912.882810370222,-2063.8844177813758
DSS 24,5078.3479218,-710.4747861432454,-4912.17501203056,-2072.434108908832
DSS 24,5138.3479218,-690.7577598440785,-4911.373180178677,-2080.982486367495
DSS 24,5198.3479218,-671.0441409937646,-4910.477330164,-2089.529386516216
DSS 24,5258.3479218,-651.334306969088,-4909.487479135739,-2098.0746457421296
DSS 24,5318.3479218,-631.6286350743833,-4908.403646042561,-2106.618100463779
DSS 24,5378.3479218,-611.9275025343084,-4907.225851632227,-2115.1595871342524
DSS 24,5438.3479218,-592.2312864866246,-4905.954118451195,-2123.698942244312
DSS 24,5498.3479218,-572.5403639749768,-4904.588470844187,-2132.236002325525
DSS 24,5558.3479218,-552.8551119416768,-4903.128934953725,-2140.770603953392
DSS 24,5618.3479218,-533.1759072204852,-4901.575538719628,-2149.3025837504747
DSS 24,5678.3479218,-513.5031265294017,-4899.928311878479,-2157.8317783895254
DSS 24,5738.3479218,-493.83714646344856,-4898.187285963059,-2166.3580245966123
DSS 24,5798.3479218,-474.1783434874658,-4896.3524943017355,-2174.8811591542453
DSS 24,5858.3479218,-454.52709392890233,-4894.42397201783,-2183.4010189045002
DSS 24,5918.3479218,-434.8837739706112,-4892.401756028947,-2191.9174407521423
DSS 24,5978.3479218,-415.24875964365106,-4890.285885046259,-2200.4302616677487
DSS 24,6006.493955999999,-406.040931771588,-4889.261068735212,-2204.422343791619
DSS 24,6066.493955999999,-386.4188009165812,-4887.007683117253,-2212.929579038293
DSS 24,6126.493955999999,-366.80590345537826,-4884.660745763948,-2221.432811118655
DSS 24,6186.493955999999,-347.20261483666104,-4882.220301602601,-2229.9318772557726
DSS 24,6246.493955999999,-327.6093103251692,-4879.686397350506,-2238.4266147524622
DSS 24,6306.493955999999,-308.0263649945184,-4877.059081514061,-2246.9168609944036
DSS 24,6366.493955999999,-288.454153720018,-4874.338404387838,-2255.402453453252
DSS 24,6426.493955999999,-268.89305117149684,-4871.524418053619,-2263.88322968975
DSS 24,6486.493955999999,-249.34343180612882,-4868.617176379397,-2272.3590273568357
DSS 24,6546.493955999999,-229.80566986126632,-4865.616735018351,-2280.829684202754
DSS 24,6606.493955999999,-210.28013934727664,-4862.523151407774,-2289.2950380741577
DSS 24,6666.493955999999,-190.76721404037949,-4859.336484767977,-2297.7549269192164
DSS 24,6726.493955999999,-171.2672674754956,-4856.056796101155,-2306.209188790715
DSS 24,6786.493955999999,-151.78067293909294,-4852.6841481902175,-2314.6576618491563
DSS 24,6846.493955999999,-132.30780346204438,-4849.21860559759,-2323.100184365856
DSS 24,6906.493955999999,-112.84903181248228,-4845.660234663975,-2331.5365947260443
DSS 24,6966.493955999999,-93.40473048866602,-4842.009103507083,-2339.966731431952
DSS 24,7026.493955999999,-73.97527171184993,-4838.265282020329,-2348.3904331059093
DSS 24,7085.66796,-54.828190599784875,-4834.48228502591,-2356.6917090739025
DSS 24,7145.66796,-35.42931534747686,-4830.554573182294,-2365.1021511666463
DSS 24,7205.66796,-16.04639246254351,-4826.534390282297,-2373.5056770613987
DSS 24,7265.66796,3.320207008726129,-4822.421813284074,-2381.9021258898993
DSS 24,7325.66796,22.67011233251742,-4818.216920914473,-2390.291336919361
DSS 24,7385.66796,42.00295309459557,-4813.919793667531,-2398.673149555552
DSS 24,7445.66796,61.31835920738877,-4809.530513802933,-2407.047403345866
DSS 24,7505.66796,80.61596091707725,-4805.049165344434,-2415.413937982396
DSS 24,7565.66796,99.89538881066824,-4800.475834078261,-2423.772593305002
DSS 24,7625.66796,119.15627382307184,-4795.810607551452,-2432.1232093043773
DSS 24,7685.667960000001,138.39824724416235,-4791.053575070202,-2440.465626125112
DSS 24,7745.667960000001,157.62094072583704,-4786.204827698136,-2448.799684068752
DSS 24,7805.667960000001,176.8239862890689,-4781.264458254573,-2457.1252235968577
DSS 24,7865.667960000001,196.0070163309499,-4776.2325613127505,-2465.4420853340553
DSS 24,7925.667960000001,215.1696636317272,-4771.109233198013,-2473.7501100710915
DSS 24,7985.667960000001,234.3115613618363,-4765.894571985964,-2482.049138767879
DSS 24,8045.667960000001,253.43234308891715,-4760.588677500593,-2490.3390125565393
DSS 24,8105.667960000001,272.53164278483496,-4755.191651312365,-2498.6195727444483
DSS 24,8165.667960000001,291.60909483268347,-4749.703596736272,-2506.8906608172697
DSS 24,8225.66796,310.66433403378346,-4744.124618829859,-2515.1521184419926
DSS 24,8285.66796,329.69699561467814,-4738.454824391214,-2523.403787469961
DSS 24,8345.66796,348.70671523411033,-4732.694321956916,-2531.645509939902
DSS 24,8405.66796,367.6931289899994,-4726.843221799966,-2539.8771280809474
DSS 24,8465.66796,386.65587342641106,-4720.901635927671,-2548.0984843156575
DSS 24,8525.66796,405.59458554050707,-4714.869678079504,-2556.309421263035
DSS 24,8585.66796,424.50890278950146,-4708.747463724921,-2564.5097817415385
DSS 24,8645.66796,443.3984630975983,-4702.535110061154,-2572.699408772092
DSS 24,8705.66796,462.2629048629203,-4696.23273601097,-2580.8781455810877
DSS 24,8765.66796,481.1018669644343,-4689.840462220387,-2589.0458356033905
DSS 24,8825.66796,499.9149887688641,-4683.358411056373,-2597.202322485333
DSS 24,8885.66796,518.7019101375906,-4676.786706604499,-2605.347450087708
DSS 24,8945.66796,537.4622714335505,-4670.125474666561,-2613.481062488759
DSS 24,9005.66796,556.195713528118,-4663.3748427581795,-2621.603003987165
DSS 24,9065.66796,574.9018778079792,-4656.534940106352,-2629.7131191050194
DSS 24,9125.66796,593.580406181999,-4649.60589764698,-2637.8112525908086
DSS 24,9185.66796,612.2309410880744,-4642.587848022366,-2645.8972494223813
DSS 24,9245.66796,630.8531254999803,-4635.480925578671,-2653.9709548099186
DSS 24,9305.66796,649.4466029342036,-4628.285266363344,-2662.0322141988963
DSS 24,9365.66796,668.0110174567674,-4621.0010081225155,-2670.0808732730416
DSS 24,9425.66796,686.5460136900456,-4613.628290298366,-2678.1167779572916
DSS 24,9485.66796,705.0512368195618,-4606.167254026451,-2686.1397744207375
DSS 24,9545.66796,723.5263326007876,-4598.618042133003,-2694.149709079573
DSS 24,9605.66796,741.9709473659207,-4590.980799132192,-2702.1464286000337
